station_number,northing_original,easting_original,elevation,easting,northing
5648,1172941.375,2702453.704,2254.515,1253.7039999999106,1441.375
5649,1172942.33433333,2702453.61566667,2254.966,1253.6156666697934,1442.3343333299272
5650,1172943.29366667,2702453.52733333,2255.417,1253.5273333298974,1443.293666670099
5651,1172944.253,2702453.439,2255.868,1253.4389999997802,1444.253000000026
5652,1172945.21233333,2702453.35066667,2256.319,1253.3506666701287,1445.2123333299533
5653,1172946.17166667,2702453.26233333,2256.77,1253.2623333302327,1446.1716666698921
5654,1172947.131,2702453.174,2257.221,1253.1740000001155,1447.1310000000522
5655,1172948.09033333,2702453.08566667,2257.672,1253.0856666699983,1448.0903333299793
5656,1172949.04966667,2702452.99733333,2258.123,1252.9973333301023,1449.0496666699182
5657,1172950.009,2702452.909,2258.574,1252.908999999985,1450.0090000000782
5658,1172950.88433333,2702452.86825,2258.98383333333,1252.868249999825,1450.8843333299737
5659,1172951.75966667,2702452.8275,2259.39366666667,1252.8275000001304,1451.7596666701138
5660,1172952.635,2702452.78675,2259.8035,1252.7867499999702,1452.6350000000093
5661,1172953.51033333,2702452.746,2260.21333333333,1252.74599999981,1453.5103333299048
5662,1172954.38566667,2702452.70525,2260.62316666667,1252.7052500001155,1454.3856666700449
5663,1172955.261,2702452.6645,2261.033,1252.6644999999553,1455.2609999999404
5664,1172956.13633333,2702452.62375,2261.44283333333,1252.623749999795,1456.1363333300687
5665,1172957.01166667,2702452.583,2261.85266666667,1252.5830000001006,1457.011666669976
5666,1172957.887,2702452.54225,2262.2625,1252.5422499999404,1457.8870000001043
5667,1172958.76233333,2702452.5015,2262.67233333333,1252.5014999997802,1458.7623333299998
5668,1172959.63766667,2702452.46075,2263.08216666667,1252.4607500000857,1459.637666669907
5669,1172960.513,2702452.42,2263.492,1252.4199999999255,1460.5130000000354
5670,1172961.38777778,2702452.378,2263.863,1252.378000000026,1461.3877777799498
5671,1172962.26255556,2702452.336,2264.234,1252.3360000001267,1462.262555560097
5672,1172963.13733333,2702452.294,2264.605,1252.2940000002272,1463.1373333299998
5673,1172964.01211111,2702452.252,2264.976,1252.2519999998622,1464.0121111099143
5674,1172964.88688889,2702452.21,2265.347,1252.2099999999627,1464.8868888900615
5675,1172965.76166667,2702452.168,2265.718,1252.1680000000633,1465.761666669976
5676,1172966.63644444,2702452.126,2266.089,1252.126000000164,1466.6364444401115
5677,1172967.51122222,2702452.084,2266.46,1252.0839999997988,1467.511222220026
5678,1172968.386,2702452.042,2266.831,1252.0419999998994,1468.3859999999404
5679,1172969.2646,2702451.9971,2267.1425,1251.997099999804,1469.2646000001114
5680,1172970.1432,2702451.9522,2267.454,1251.9522000001743,1470.1432000000495
5681,1172971.0218,2702451.9073,2267.7655,1251.907300000079,1471.0217999999877
5682,1172971.9004,2702451.8624,2268.077,1251.8623999999836,1471.9003999999259
5683,1172972.779,2702451.8175,2268.3885,1251.8174999998882,1472.7790000000969
5684,1172973.6576,2702451.7726,2268.7,1251.7725999997929,1473.657600000035
5685,1172974.5362,2702451.7277,2269.0115,1251.7277000001632,1474.5361999999732
5686,1172975.4148,2702451.6828,2269.323,1251.6828000000678,1475.4147999999113
5687,1172976.2934,2702451.6379,2269.6345,1251.6378999999724,1476.2934000000823
5688,1172977.172,2702451.593,2269.946,1251.592999999877,1477.1720000000205
5689,1172978.15136364,2702451.47918182,2270.19354545455,1251.479181820061,1478.1513636400923
5690,1172979.13072727,2702451.36536364,2270.44109090909,1251.3653636397794,1479.1307272699196
5691,1172980.11009091,2702451.25154545,2270.68863636364,1251.2515454501845,1480.1100909099914
5692,1172981.08945455,2702451.13772727,2270.93618181818,1251.1377272699028,1481.0894545500632
5693,1172982.06881818,2702451.02390909,2271.18372727273,1251.0239090900868,1482.0688181798905
5694,1172983.04818182,2702450.91009091,2271.43127272727,1250.9100909098051,1483.0481818199623
5695,1172984.02754545,2702450.79627273,2271.67881818182,1250.7962727299891,1484.0275454500224
5696,1172985.00690909,2702450.68245455,2271.92636363636,1250.6824545501731,1485.0069090900943
5697,1172985.98627273,2702450.56863636,2272.17390909091,1250.5686363601126,1485.9862727299333
5698,1172986.96563636,2702450.45481818,2272.42145454545,1250.454818179831,1486.9656363599934
5699,1172987.945,2702450.341,2272.669,1250.341000000015,1487.9450000000652
5700,1172988.87125,2702450.31791667,2273.1355,1250.3179166698828,1488.8712500000838
5701,1172989.7975,2702450.29483333,2273.602,1250.2948333299719,1489.7975000001024
5702,1172990.72375,2702450.27175,2274.0685,1250.2717499998398,1490.7237499998882
5703,1172991.65,2702450.24866667,2274.535,1250.2486666701734,1491.6499999999069
5704,1172992.57625,2702450.22558333,2275.0015,1250.2255833297968,1492.5762499999255
5705,1172993.5025,2702450.2025,2275.468,1250.2025000001304,1493.5024999999441
5706,1172994.42875,2702450.17941667,2275.9345,1250.1794166699983,1494.4287499999627
5707,1172995.355,2702450.15633333,2276.401,1250.1563333300874,1495.3549999999814
5708,1172996.28125,2702450.13325,2276.8675,1250.1332499999553,1496.28125
5709,1172997.2075,2702450.11016667,2277.334,1250.1101666698232,1497.2075000000186
5710,1172998.13375,2702450.08708333,2277.8005,1250.0870833299123,1498.1337500000373
