name,station_number,elevation,easting_original,northing_original,easting,northing
 976_1476,1104,2260.204,2702176.427,1172975.985,976.4270000001416,1475.9850000001024
1005_1477,1105,2259.383,2702204.959,1172977.02,1004.9589999997988,1477.0200000000186
1033_1477,1106,2259.458,2702233.457,1172976.956,1033.4569999999367,1476.9560000000056
1063_1478,1107,2263.336,2702262.547,1172977.792,1062.5469999997877,1477.7919999998994
1091_1478,1108,2267.662,2702290.804,1172977.88,1090.8040000000037,1477.8799999998882
1119_1479,1109,2270.171,2702318.958,1172979.236,1118.9580000001006,1479.2360000000335
1148_1479,1110,2272.962,2702347.995,1172979.346,1147.9950000001118,1479.3459999999031
1176_1480,1111,2271.336,2702376.102,1172980.109,1176.1019999999553,1480.1089999999385
1205_1480,1112,2268.907,2702404.697,1172979.752,1204.6970000001602,1479.752000000095
1233_1481,1113,2265.686,2702432.998,1172980.994,1232.9980000001378,1480.9939999999478
1262_1482,1114,2269.957,2702461.98,1172981.593,1261.9799999999814,1481.59300000011
1290_1482,1115,2272.324,2702490.279,1172982.034,1290.2790000000969,1482.033999999985
1319_1482,1116,2273.848,2702518.722,1172982.347,1318.722000000067,1482.347000000067
1348_1483,1117,2274.895,2702547.952,1172982.949,1347.9520000000484,1482.9490000000224
1376_1484,1118,2276.501,2702576.329,1172984.145,1376.3289999999106,1484.1450000000186
1406_1484,1119,2278.995,2702605.583,1172983.735,1405.5830000001006,1483.7350000001024
1433_1484,1120,2289.722,2702633.204,1172984.083,1433.2039999999106,1484.0830000001006
1462_1484,1121,2297.4,2702662.296,1172984.374,1462.2960000000894,1484.374000000069
1491_1486,1122,2305.044,2702690.784,1172985.535,1490.783999999985,1485.5349999999162
1519_1486,1123,2309.922,2702719.181,1172985.557,1519.180999999866,1485.5570000000298
1548_1486,1124,2312.628,2702747.808,1172985.852,1547.8080000001937,1485.8519999999553
 569_1452,1125,2142.342,2701769.096,1172951.99,569.0959999999031,1451.9899999999907
 592_1445,1126,2159.6,2701791.992,1172945.313,591.9920000000857,1445.313000000082
 621_1446,1127,2171.406,2701820.598,1172946.136,620.598000000231,1446.1359999999404
 649_1446,1128,2176.583,2701848.729,1172946.275,648.7289999998175,1446.2749999999069
 678_1446,1129,2186.178,2701877.711,1172946.403,677.7110000001267,1446.402999999933
 706_1447,1130,2197.149,2701905.86,1172947.343,705.8599999998696,1447.34300000011
 735_1448,1131,2206.519,2701935.011,1172948.201,735.0109999999404,1448.2009999998845
 764_1449,1132,2215.808,2701963.847,1172948.786,763.847000000067,1448.78600000008
 792_1449,1133,2220.385,2701992.263,1172949.239,792.2629999998026,1449.2390000000596
 821_1450,1134,2224.118,2702020.817,1172950.006,820.8169999998063,1450.0060000000522
 849_1451,1135,2224.43,2702049.183,1172950.636,849.1830000001937,1450.6359999999404
